Country,GDP_per_capita_USD,Pop_density_km2,Agric_pct_GDP,Mobile_per_100,Internet_users_pct,Urban_pop_pct,Life_expectancy,Electricity_access_pct,Literacy_rate_pct
Nigeria,2160.0,226.0,23.4,91.0,55.0,53,53.0,60.0,62.0
Egypt,3690.0,103.0,11.3,95.0,72.0,43,70.0,100.0,71.0
South Africa,6770.0,49.0,2.5,168.0,72.0,68,,85.0,95.0
Kenya,2080.0,94.0,21.2,122.0,42.0,28,62.0,71.0,82.0
Ethiopia,925.0,115.0,37.6,56.0,17.0,22,65.0,51.0,52.0
Ghana,2360.0,137.0,19.7,130.0,58.0,58,64.0,86.0,
Rwanda,,525.0,24.1,81.0,31.0,17,67.0,48.0,73.0
Tanzania,1140.0,67.0,26.5,87.0,25.0,36,66.0,40.0,78.0
Uganda,964.0,229.0,23.9,67.0,29.0,26,63.0,42.0,77.0
Morocco,3500.0,83.0,11.8,137.0,88.0,64,74.0,100.0,74.0
Senegal,1640.0,87.0,15.5,116.0,58.0,49,67.0,70.0,52.0
Côte d'Ivoire,2560.0,83.0,20.1,165.0,36.0,52,58.0,71.0,47.0
Algeria,3690.0,19.0,12.3,110.0,71.0,74,76.0,,81.0
Angola,1930.0,26.0,10.0,45.0,39.0,67,61.0,47.0,71.0
Mozambique,500.0,41.0,26.0,50.0,21.0,38,60.0,31.0,63.0
Zambia,1140.0,,3.2,,21.0,45,62.0,45.0,
Zimbabwe,1670.0,42.0,12.0,90.0,31.0,32,61.0,53.0,89.0
Cameroon,1660.0,56.0,16.7,88.0,39.0,58,60.0,71.0,78.0
Mali,860.0,18.0,37.4,119.0,35.0,44,59.0,53.0,36.0
Botswana,7350.0,4.0,1.8,,64.0,71,69.0,72.0,88.0
Namibia,4860.0,3.0,6.7,113.0,53.0,53,64.0,56.0,92.0
Tunisia,3810.0,76.0,10.4,128.0,79.0,70,77.0,,82.0
Malawi,640.0,203.0,22.7,51.0,24.0,18,,15.0,67.0
Burkina Faso,830.0,79.0,18.6,104.0,22.0,32,60.0,19.0,46.0
Madagascar,510.0,49.0,22.1,45.0,20.0,40,65.0,33.0,77.0
Benin,1430.0,108.0,27.0,90.0,,49,60.0,42.0,45.0
Niger,590.0,19.0,37.8,47.0,13.0,17,62.0,19.0,37.0
Mauritius,10260.0,626.0,3.6,151.0,65.0,41,74.0,100.0,91.0
Gabon,8820.0,9.0,5.4,144.0,72.0,91,67.0,92.0,85.0
Sierra Leone,510.0,111.0,58.5,88.0,21.0,43,60.0,26.0,43.0
